model_name	category	levels	message	timestamp
model0_Version2	Consonants	Levelphoneme30	Argument 'data' does not contain observations.	2025-12-16T18:26:46Z
model0_Version2	Consonants	Levelphoneme34	Argument 'data' does not contain observations.	2025-12-16T18:26:46Z
model0_Version2	Consonants	early	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:32:24Z
model0_Version2	Consonants	middle	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:32:24Z
model0_Version2	Consonants	late	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:32:24Z
model0_Version2	Vowels	early	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:32:24Z
model0_Version2	Consonants	early	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:38:36Z
model0_Version2	Consonants	middle	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:38:36Z
model0_Version2	Consonants	late	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:38:36Z
model0_Version2	Vowels	early	CmdStan path has not been set yet. See ?set_cmdstan_path.	2026-02-26T00:38:36Z
